"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018年8月7日","379.57","343.84","387.46","339.15","30.88M","10.99%"
"2018年8月6日","341.99","345.46","354.98","341.82","8.56M","-1.78%"
"2018年8月3日","348.17","347.81","355.00","342.53","13.66M","-0.39%"
"2018年8月2日","349.54","328.44","349.99","323.16","23.21M","16.19%"
"2018年8月1日","300.84","297.99","303.00","293.00","10.13M","0.91%"
"2018年7月31日","298.14","292.25","298.32","289.07","5.08M","2.75%"
"2018年7月30日","290.17","295.90","296.10","286.13","6.81M","-2.36%"
"2018年7月27日","297.18","307.25","307.69","295.34","5.70M","-3.09%"
"2018年7月26日","306.65","304.85","310.70","303.64","4.63M","-0.68%"
"2018年7月25日","308.74","296.74","309.62","294.50","7.09M","3.80%"
"2018年7月24日","297.43","304.42","307.72","292.55","9.59M","-1.90%"
"2018年7月23日","303.20","301.84","305.50","292.86","10.99M","-3.31%"
"2018年7月20日","313.58","321.23","323.24","311.71","5.17M","-2.08%"
"2018年7月19日","320.23","316.33","323.54","314.01","5.92M","-1.12%"
"2018年7月18日","323.85","325.00","325.50","316.25","5.62M","0.36%"
"2018年7月17日","322.69","308.81","324.74","308.50","7.00M","4.06%"
"2018年7月16日","310.10","311.71","315.16","306.25","7.82M","-2.75%"
"2018年7月13日","318.87","315.58","319.58","309.25","5.88M","0.68%"
"2018年7月12日","316.71","321.43","323.23","312.77","5.72M","-0.71%"
"2018年7月11日","318.96","315.80","321.94","315.07","4.88M","-1.09%"
"2018年7月10日","322.47","324.56","327.68","319.20","9.47M","1.24%"
"2018年7月9日","318.51","311.99","318.52","308.00","7.60M","3.11%"
"2018年7月6日","308.90","304.95","312.07","302.00","8.87M","-0.08%"
"2018年7月5日","309.16","313.76","314.39","296.22","17.48M","-0.55%"
"2018年7月3日","310.86","331.75","332.49","309.69","12.28M","-7.23%"
"2018年7月2日","335.07","360.07","364.78","329.85","18.76M","-2.30%"
"2018年6月29日","342.95","353.33","353.86","342.41","6.49M","-1.99%"
"2018年6月28日","349.93","348.66","357.02","346.11","8.40M","1.58%"
"2018年6月27日","344.50","345.00","350.79","339.50","8.33M","0.73%"
"2018年6月26日","342.00","336.05","343.55","325.80","7.45M","2.70%"
"2018年6月25日","333.01","330.12","338.47","327.50","6.93M","-0.19%"
"2018年6月22日","333.63","351.54","352.25","332.00","10.27M","-3.99%"
"2018年6月21日","347.51","362.00","366.21","346.27","7.97M","-4.06%"
"2018年6月20日","362.22","358.04","364.38","352.00","8.38M","2.74%"
"2018年6月19日","352.55","365.16","370.00","346.25","12.76M","-4.93%"
"2018年6月18日","370.83","355.40","373.73","354.50","12.07M","3.53%"
"2018年6月15日","358.17","353.84","364.67","351.25","10.85M","0.13%"
"2018年6月14日","357.72","347.63","358.75","346.60","10.98M","3.75%"
"2018年6月13日","344.78","346.71","347.20","339.80","9.47M","0.59%"
